zipcode,price
75005,$90.00
75116.0,$110.00
75020,$62.00
75018.0,$120.00
75011,$50.00
75008,$90.00
75008,$350.00
75015.0,$82.00
75019.0,$41.00
75013.0,$70.00
75010,$60.00
75003.0,$75.00
75012,$55.00
75015,$120.00
75003,$53.00
75018.0,$28.00
75010,$119.00
75009,$60.00
75005,$90.00
75012,$68.00
75007,$150.00
75013.0,$45.00
75010.0,$65.00
75011,$55.00
75017.0,$240.00
75015,$120.00
75017.0,$40.00
75014.0,$90.00
75006,$140.00
75002.0,$120.00
75011.0,$49.00
75017,$39.00
75006.0,$100.00
75015,$90.00
75018.0,$80.00
75018,$100.00
75007,$67.00
75017,$82.00
75007,$200.00
75116.0,$250.00
75018.0,$55.00
75011.0,$36.00
75007.0,$80.00
,$90.00
75011,$119.00
75019,$100.00
75008.0,$120.00
75011,$90.00
75009,$150.00
75019,$75.00
75019,$35.00
75004,$140.00
75019.0,$65.00
75004.0,$155.00
75019,$50.00
75003.0,$160.00
75002.0,$39.00
75018.0,$80.00
75008,$219.00
75010,$84.00
75015,$130.00
75020,$41.00
75016.0,$85.00
75009,$100.00
75015.0,$75.00
75011,$90.00
75002.0,$90.00
75017,$101.00
75019,$90.00
75018.0,$100.00
75011,$50.00
75020,$99.00
75010,$55.00
75004,$159.00
75018,$300.00
75015.0,$85.00
75010.0,$110.00
75018.0,$50.00
75020,$45.00
75011,$55.00
75011.0,$96.00
75006,$74.00
75011.0,$100.00
75011.0,$77.00
75015.0,$30.00
75017.0,$49.00
75017.0,$65.00
75018,$50.00
75010,$40.00
75003.0,$59.00
75011.0,$109.00
75010.0,$125.00
75013,$139.00
75010,$130.00
75015.0,$98.00
75020.0,$50.00
75019,$110.00
75011.0,$50.00
75004,$50.00
75011.0,$50.00
75015,$50.00
75011.0,$70.00
75017.0,$60.00
75002.0,$100.00
75018.0,$40.00
75018,$47.00
75014.0,$70.00
75011.0,$90.00
75020,$40.00
75008,$150.00
75011,$60.00
75018,$80.00
75018.0,$80.00
75011.0,$177.00
75004.0,$150.00
,$40.00
75018,$65.00
75008,$110.00
75011.0,$70.00
75009.0,$80.00
75001.0,$100.00
75014.0,$20.00
75011.0,$70.00
75008,$100.00
75017.0,$38.00
75116,$75.00
75013.0,$30.00
75004.0,$220.00
75011,$34.00
75011,$50.00
75010,$80.00
75017.0,$120.00
75018.0,$90.00
75008.0,$226.00
75002.0,$75.00
75010.0,$87.00
75018.0,$110.00
75017.0,$62.00
75002.0,$79.00
75020.0,$85.00
75011.0,$65.00
75020.0,$69.00
75011,$109.00
75011.0,$59.00
75015.0,$110.00
75012.0,$78.00
75009.0,$65.00
75014,$69.00
75018.0,$95.00
75006.0,$70.00
75012.0,$60.00
75012,$250.00
75019.0,$28.00
75005.0,$38.00
75009,$70.00
75018.0,$130.00
75001.0,$120.00
75011.0,$50.00
75007.0,$200.00
75020.0,$130.00
75009.0,"$1,000.00"
75018.0,$70.00
75014.0,$55.00
75005.0,$85.00
75007.0,$452.00
75013,$60.00
75011.0,$100.00
75012,$25.00
75009.0,$70.00
75014.0,$65.00
75018e,$30.00
75018,$90.00
75020.0,$110.00
75005.0,$246.00
75007,$230.00
75009.0,$70.00
75003,$99.00
75019,$50.00
75002.0,$160.00
75011.0,$35.00
75116.0,$80.00
75005,$72.00
75015.0,$69.00
75018.0,$36.00
75015.0,$90.00
75012,$80.00
75014.0,$55.00
75017.0,$45.00
75017,$25.00
75009,$89.00
75013.0,$41.00
75116,$54.00
75011.0,$57.00
75006,$60.00
75005.0,$110.00
75009,$45.00
75002.0,$75.00
75019,$35.00
75018,$90.00
75003.0,$135.00
75018.0,$32.00
75015.0,$75.00
75019,$33.00
75010.0,$30.00
75009,$139.00
75017,$130.00
75011.0,$90.00
75011.0,$149.00
75018,$70.00
75006,$50.00
75014.0,$110.00
75010,$55.00
,$45.00
75019,$85.00
75018.0,$50.00
75005,$20.00
75010,$70.00
75006,$30.00
75009.0,$120.00
75011,$51.00
75014,$40.00
75003.0,$50.00
75011,$163.00
75016,$50.00
75015,$40.00
75002.0,$120.00
75018,$65.00
75002,$50.00
75011,$70.00
75010.0,$65.00
75018.0,$65.00
75018.0,$50.00
75019.0,$150.00
75001,$140.00
75011,$50.00
75020,$75.00
75015.0,$59.00
75001.0,$120.00
75018.0,$46.00
75013.0,$45.00
75020,$48.00
75011,$70.00
75015.0,$81.00
75015,$40.00
75004,$100.00
75011,$100.00
75003,$300.00
75003.0,$40.00
75007.0,$65.00
75011,$50.00
75015,$49.00
75018.0,$61.00
75003.0,$50.00
75018,$70.00
75019.0,$80.00
75116.0,$764.00
75015.0,$70.00
75015,$80.00
75011,$65.00
75015.0,$54.00
75001,$130.00
75011.0,$45.00
75006.0,$90.00
75007,$230.00
75020.0,$35.00
75001,$133.00
75003,$143.00
75004.0,$75.00
75007,$150.00
75016.0,$40.00
75019,$31.00
75007,$130.00
75009,$50.00
75010,$65.00
75019.0,$80.00
75006,$103.00
75014,$40.00
75017.0,$270.00
75008,$48.00
75019,$150.00
75002.0,$107.00
75011.0,$85.00
75012,$100.00
75018.0,$65.00
75011.0,$65.00
75004.0,$110.00
75009.0,$200.00
75018.0,$80.00
75010,$80.00
75011,$299.00
75016.0,$63.00
75015,$115.00
75010.0,$54.00
75008.0,$99.00
75007,$140.00
75016.0,$195.00
75015.0,$40.00
75008.0,$213.00
75020.0,$50.00
75012,$64.00
75019.0,$45.00
75015.0,$60.00
75011,$75.00
75010.0,$60.00
75018.0,$40.00
75005,$160.00
75008,$66.00
75017,$55.00
75005,$40.00
75014,$60.00
75015,$175.00
75003.0,$200.00
75018.0,$50.00
75001.0,$230.00
75010,$70.00
75015,$45.00
75008,$60.00
,$60.00
75003,$136.00
75016.0,$39.00
75009,$70.00
75013,$39.00
75017,$65.00
75018,$89.00
75011,$30.00
75011.0,$65.00
75012,$90.00
75017,$54.00
75012.0,$155.00
75011.0,$140.00
75010,$90.00
75018.0,$65.00
75008.0,$400.00
75018.0,$70.00
75010.0,$40.00
75009.0,$184.00
75020.0,$250.00
75009.0,$89.00
75018,$80.00
75011.0,$35.00
75013,$90.00
75011.0,$60.00
75003.0,$59.00
75003,$195.00
75002,$150.00
75012.0,$50.00
75003,$140.00
75017,$210.00
75004,$110.00
75015.0,$95.00
75009.0,$75.00
75017,$111.00
75011,$65.00
75017.0,$80.00
75010.0,$50.00
75015.0,$110.00
75019.0,$70.00
75005.0,$38.00
75019.0,$65.00
75007.0,$225.00
75019.0,$37.00
75016.0,$55.00
75019,$65.00
75008.0,$65.00
75017,$35.00
75018,$70.00
75019.0,$60.00
75018,$46.00
75020,$80.00
75020.0,$80.00
75018.0,$80.00
75002,$93.00
75015,$75.00
75020,$55.00
75012,$40.00
75116,$150.00
75116.0,$149.00
75017.0,$45.00
75008.0,$123.00
75019.0,$60.00
75015,$53.00
75005.0,$130.00
75018,$95.00
75005,$75.00
75011.0,$125.00
75015,$280.00
75002,$80.00
75018.0,$40.00
75003.0,$60.00
75018.0,$75.00
75003.0,$100.00
75018,$69.00
75010.0,$62.00
75011.0,$48.00
92100,$50.00
75018,$70.00
75005.0,$170.00
75018,$95.00
75011.0,$131.00
75015.0,$220.00
75020.0,$39.00
75015.0,$150.00
75015,$90.00
75018,$30.00
75017,$150.00
75018.0,$35.00
75012,$35.00
75003.0,$70.00
